ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,tcp.port
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,124,
192.168.1.124,224.0.0.251,MDNS,191,
192.168.1.124,224.0.0.251,MDNS,82,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,66,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,54,8009,53243
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53243,8009
192.168.1.124,224.0.0.251,MDNS,102,
192.168.1.124,224.0.0.251,MDNS,112,
192.168.1.124,224.0.0.251,MDNS,82,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,164,53243,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53243
192.168.1.54,192.168.1.124,TCP,54,53243,8009
